Nome do Evento,Data,Localização,Imagem
ESCOLA DE MESTRES,"SAB, 13 ABR · 08:00","Missão Casa do Pão - Itaboraí, RJ",https://images.sympla.com.br/6584947ee2007-xs.jpg
Retiro de Casais Pibane,"08 NOV
10 NOV","Local a definir - Nova Friburgo, RJ",https://images.sympla.com.br/655f3ee07f20a-xs.jpg
ESCOLA DE CURA HABACUQUE,"10 MAI
12 MAI","Missão Casa do Pão - Itaboraí, RJ",https://images.sympla.com.br/6586dc3291f05-xs.jpg
Virada de Ano Novo Ilumine-se,"DOM, 31 DEZ · 16:00","Espaço Natural Sonho Verde - Duque de Caxias, RJ",https://images.sympla.com.br/65720ad7638f9-xs.jpg
Saquarema - RJ,"05 JAN
07 JAN","Saquarema - Saquarema, RJ",https://images.sympla.com.br/656d1d0eab250-xs.png
CONFERÊNCIA SEMEANDO O AVIVAMENTO,"26 ABR
28 ABR","Caminho Morro Grande, 340 - Nova Iguaçu, RJ",https://images.sympla.com.br/6577986387338-xs.jpg
ESCOLA DE CURA ESTER,"15 MAR
17 MAR","Missão Casa do Pão - Itaboraí, RJ",https://images.sympla.com.br/65844d828bde9-xs.jpg
Conferência Recomeçar,"SAB, 13 ABR · 08:00","Sítio Recanto dos Jardins - Rio de Janeiro, RJ",https://images.sympla.com.br/658b302fd470b-xs.jpg
Treinamento Para Célula e Ministério com Crianças,"SAB, 13 JAN · 09:00","Igreja Batista Fé - Belford Roxo, RJ",https://images.sympla.com.br/656b45d0542e3-xs.png
Semana inaugural ICERIG Segunda-feira,"SEG, 06 MAI · 19:30","Iguabinha - Araruama, RJ",https://images.sympla.com.br/6466db550d704-xs.png
Semana inaugural ICERIG Terça-feira,"TER, 07 MAI · 19:30","Iguabinha - Araruama, RJ",https://images.sympla.com.br/6466db072e144-xs.png
Semana inaugural ICERIG Quarta-feira,"QUA, 08 MAI · 19:30","Iguabinha - Araruama, RJ",https://images.sympla.com.br/6466dac0f1bb4-xs.png
Semana inaugural ICERIG Quinta-feira,"QUI, 09 MAI · 19:30","Iguabinha - Araruama, RJ",https://images.sympla.com.br/6466da5fdf999-xs.png
Semana inaugural ICERIG Sexta-feira,"SEX, 10 MAI · 19:30","Iguabinha - Araruama, RJ",https://images.sympla.com.br/6466d99dd775c-xs.png
Semana inaugural ICERIG Sábado,"SAB, 11 MAI · 19:30","Iguabinha - Araruama, RJ",https://images.sympla.com.br/6466d95b092c1-xs.png
Semana inaugural ICERIG Domingo,"DOM, 12 MAI · 19:30","Iguabinha - Araruama, RJ",https://images.sympla.com.br/6466d904064dc-xs.png
Culto da Benção - ICERIG,"SEX, 31 MAI · 19:00","Iguabinha - Araruama, RJ",https://images.sympla.com.br/64664555cc9a4-xs.png
"Curso de Terapia Multidimensional APTMD em Copacabana, RJ - 13 e 14 de Janeiro","13 JAN
14 JAN","Copacabana - Rio de Janeiro, RJ",https://images.sympla.com.br/653c594082ba8-xs.jpg
Manifestação do Universo em ti,"29 DEZ
01 JAN","Sitio Bom Tempo - Miguel Pereira, RJ",https://images.sympla.com.br/6534155a92625-xs.jpg
POLO XV ÉFESO - XLV COMEERJ - Confraternização de Mocidades Espíritas do Estado do Rio de Janeiro,"10 FEV
14 FEV","CIEP MANÉ GARRINCHA - Magé, RJ",https://images.sympla.com.br/6543cefb8de05-xs.jpg
CURADAS PARA CURAR 1,"29 FEV
27 JUN","Igreja Metodista Catedral Emanuel - Resende, RJ",https://images.sympla.com.br/657cc366764b4-xs.jpg
XLV COMEERJ - POLO V JERICÓ,"10 FEV
14 FEV","Escola Espírita Joanna de Ângelis - Japeri, RJ",https://images.sympla.com.br/655d329e7c05d-xs.jpg
CONGRESSO DE ADOLESCENTES,"22 NOV
21 JUN","IGREJA ADVENTISTA CENTRAL - Conceição de Macabu, RJ",https://images.sympla.com.br/63547d65d71b6-xs.png
Acampamento de Verão 2024,"16 JAN
19 JAN","SITIO DAS ÁGUAS - Itaboraí, RJ",https://images.sympla.com.br/654a9d4021768-xs.jpg
